nom_enseigne,longitude,latitude,territoryLabel
CORA DRIVE,2.2769779,48.7238467,ILE-DE-FRANCE
CORA DRIVE,2.4183455,48.9756365,ILE-DE-FRANCE
CORA DRIVE,2.498028,48.912968,ILE-DE-FRANCE
CHRONODRIVE,1.4250931,43.6517796,SUD
CHRONODRIVE,3.1368683,50.6786002,NORD
CHRONODRIVE,3.9351296,43.6391789,SUD
CHRONODRIVE,3.0845201,50.6822553,NORD
CHRONODRIVE,5.508307,43.287247,SUD
CHRONODRIVE,2.5960563,48.7018908,ILE-DE-FRANCE
CHRONODRIVE,6.0302635,43.134681,SUD
CHRONODRIVE,1.4820843,43.536394,SUD
CHRONODRIVE,5.687654,45.177052,SUD
CHRONODRIVE,2.7851454,49.3884141,NORD
CHRONODRIVE,2.9558521,50.6061906,NORD
CHRONODRIVE,-0.6457257,44.7791087,SUD
CHRONODRIVE,1.490035,45.148948,SUD
CHRONODRIVE,3.1481067,50.6647582,NORD
CHRONODRIVE,4.9567841,45.6808548,SUD
CHRONODRIVE,2.0301539,49.0536117,ILE-DE-FRANCE
CHRONODRIVE,1.367767,43.580219,SUD
CHRONODRIVE,-0.67682,44.859158,SUD
CHRONODRIVE,3.127556,50.722936,NORD
CHRONODRIVE,6.126977,43.104866,SUD
CHRONODRIVE,5.215733,43.410876,SUD
CHRONODRIVE,3.8492279,43.5753377,SUD
MATCH DRIVE,2.90033,50.58354,NORD
MATCH DRIVE,4.366171,48.963559,EST
MATCH DRIVE,3.797154,50.301285,NORD
MATCH DRIVE,6.533355,49.290425,EST
MATCH DRIVE,7.576185,48.755138,EST
MATCH DRIVE,3.173986,50.735355,NORD
AUCHAN DRIVE,6.144186,49.195441,EST
AUCHAN DRIVE,6.126206,48.690251,EST
AUCHAN DRIVE,7.7432185,48.8319806,EST
AUCHAN DRIVE,2.2691826,50.7328272,NORD
AUCHAN DRIVE,2.255903,48.705877,ILE-DE-FRANCE
AUCHAN DRIVE,3.9381746,50.2530901,NORD
AUCHAN DRIVE,3.7166727,43.4139249,SUD
AUCHAN DRIVE,-0.9606601,44.6331902,SUD
AUCHAN DRIVE,4.7659,45.69916,SUD
AUCHAN DRIVE,5.4214483,43.279243,SUD
AUCHAN DRIVE,3.249573,43.3479,SUD
AUCHAN DRIVE,2.2863017,51.0039062,NORD
AUCHAN DRIVE,1.736492,46.793212,OUEST
AUCHAN DRIVE,5.054708,43.423592,SUD
AUCHAN DRIVE,2.9018181,50.5835024,NORD
AUCHAN DRIVE,0.704476,47.336385,OUEST
AUCHAN DRIVE,3.130658,45.752229,SUD
AUCHAN DRIVE,-0.523333,44.814168,SUD
AUCHAN DRIVE,6.220988,48.686494,EST
AUCHAN DRIVE,3.517674,50.344604,NORD
AUCHAN DRIVE,3.2253117,50.6809031,NORD
AUCHAN DRIVE,1.690687,48.981203,ILE-DE-FRANCE
AUCHAN DRIVE,1.904548,50.954806,NORD
AUCHAN DRIVE,7.321903,43.742872,SUD
AUCHAN DRIVE,2.486253,49.277175,NORD
AUCHAN DRIVE,1.678762,50.734199,NORD
AUCHAN DRIVE,2.979222,50.407414,NORD
AUCHAN DRIVE,1.08117,49.9106232,NORD
AUCHAN DRIVE,4.840207,46.329017,EST
AUCHAN DRIVE,6.9515693,43.6359101,SUD
AUCHAN DRIVE,2.683084,48.541113,ILE-DE-FRANCE
AUCHAN DRIVE,0.1888213,49.5313082,NORD
AUCHAN DRIVE,3.939234,43.572163,SUD
AUCHAN DRIVE,-0.559875,44.878132,SUD
AUCHAN DRIVE,-0.6148019,47.5144277,OUEST
AUCHAN DRIVE,5.5944186,43.2957168,SUD
AUCHAN DRIVE,7.740315,48.542762,EST
AUCHAN DRIVE,2.2195488,48.7795934,ILE-DE-FRANCE
AUCHAN DRIVE,2.222518,49.01312,ILE-DE-FRANCE
AUCHAN DRIVE,6.0707853,45.9384806,SUD
AUCHAN DRIVE,2.969686,50.634255,NORD
AUCHAN DRIVE,1.8599017,47.9026209,OUEST
AUCHAN DRIVE,0.20354,45.6384522,SUD
AUCHAN DRIVE,1.96293,48.82785,ILE-DE-FRANCE
AUCHAN DRIVE,3.079437,50.580878,NORD
AUCHAN DRIVE,2.079895,49.077855,ILE-DE-FRANCE
AUCHAN DRIVE,3.478473,50.377593,NORD
CASINO DRIVE,5.0303198,47.356647,EST
CASINO DRIVE,-0.3678638,43.4011049,SUD
CASINO DRIVE,4.843684,45.87651,SUD
CASINO DRIVE,2.814371,48.867417,ILE-DE-FRANCE
CASINO DRIVE,-0.4335531,44.8704147,SUD
CASINO DRIVE,-0.50542,43.877865,SUD
CASINO DRIVE,5.453945,43.334021,SUD
CASINO DRIVE,6.1042392,44.5684477,SUD
CASINO DRIVE,1.488408,43.529647,SUD
CASINO DRIVE,1.4413735,44.444491,SUD
CASINO DRIVE,7.4168,47.73086,EST
CASINO DRIVE,4.7238913,49.7697591,EST
CASINO DRIVE,0.6337966,44.1781209,SUD
CASINO DRIVE,5.0777228,43.6348738,SUD
CASINO DRIVE,0.598497,44.194636,SUD
CASINO DRIVE,2.772754,50.623865,NORD
CASINO DRIVE,5.9713438,47.2246915,EST
CASINO DRIVE,-0.5638506,44.7764621,SUD
CASINO DRIVE,1.5608059,45.1668471,SUD
CASINO DRIVE,4.6390365,43.666516,SUD
CASINO DRIVE,-0.522303,47.4673765,OUEST
CASINO DRIVE,5.6718302,45.1988064,SUD
