Rang,Departement,Commune,Score,Habitants,territoryLabel
1,BOUCHES-DU-RHONE,MARSEILLE--6E--ARRONDISSEMENT,214.77965694734058,38703,SUD
2,SEINE-SAINT-DENIS,LE PRE-SAINT-GERVAIS,204.78097360371703,17976,ILE-DE-FRANCE
3,BOUCHES-DU-RHONE,MARSEILLE--4E--ARRONDISSEMENT,197.532535465112,42454,SUD
4,HAUTS-DE-SEINE,LA GARENNE-COLOMBES,195.8119689913394,30308,ILE-DE-FRANCE
5,HAUTS-DE-SEINE,MONTROUGE,193.01667626744538,47833,ILE-DE-FRANCE
6,VAL-DE-MARNE,VINCENNES,187.279997689869,47222,ILE-DE-FRANCE
7,BOUCHES-DU-RHONE,MARSEILLE--1ER-ARRONDISSEMENT,180.63476156461635,35183,SUD
8,HAUTS-DE-SEINE,ASNIERES-SUR-SEINE,177.44871915052417,89445,ILE-DE-FRANCE
9,VAL-DE-MARNE,SAINT-MANDE,174.83232404376517,21858,ILE-DE-FRANCE
10,HAUTS-DE-SEINE,BOIS-COLOMBES,173.94972669550151,27470,ILE-DE-FRANCE
11,HAUTS-DE-SEINE,VANVES,173.93974118133846,27387,ILE-DE-FRANCE
12,VAL-DE-MARNE,CHARENTON-LE-PONT,173.02655907389573,30202,ILE-DE-FRANCE
13,BOUCHES-DU-RHONE,MARSEILLE--5E--ARRONDISSEMENT,172.63339901624644,41561,SUD
14,RHONE,LYON--3E--ARRONDISSEMENT,172.13375289355426,93098,EST
15,PARIS,PARIS-6E-ARRONDISSEMENT,171.75072619405233,35774,ILE-DE-FRANCE
16,SEINE-SAINT-DENIS,LES LILAS,169.39269737695,21819,ILE-DE-FRANCE
17,RHONE,LYON--6E--ARRONDISSEMENT,168.72439791791194,48343,EST
18,VAL-DE-MARNE,LE KREMLIN-BICETRE,168.20836639173379,24739,ILE-DE-FRANCE
19,VAL-DE-MARNE,GENTILLY,166.33105269827234,15303,ILE-DE-FRANCE
20,HAUTS-DE-SEINE,MALAKOFF,163.42178957241356,27605,ILE-DE-FRANCE
21,RHONE,LYON--1ER-ARRONDISSEMENT,159.90586049378143,26733,EST
22,HAUTS-DE-SEINE,NEUILLY-SUR-SEINE,159.00016746778414,61070,ILE-DE-FRANCE
23,VAL-DE-MARNE,ALFORTVILLE,156.7573276019389,43777,ILE-DE-FRANCE
24,HAUTS-DE-SEINE,SURESNES,154.80641459540124,47041,ILE-DE-FRANCE
25,SEINE-SAINT-DENIS,BAGNOLET,153.09567067194752,36796,ILE-DE-FRANCE
26,RHONE,LYON--8E--ARRONDISSEMENT,153.06833478102442,75383,EST
27,RHONE,LYON--4E--ARRONDISSEMENT,148.9700072128654,34776,EST
28,SEINE-SAINT-DENIS,MONTREUIL,148.37395972051854,108835,ILE-DE-FRANCE
29,HAUTS-DE-SEINE,CHATILLON,147.4104537888054,34581,ILE-DE-FRANCE
